Name,ref,JName,RA,DEC,Binary Type,Companion,Dist (Kpc)
J1701-3006C,pdm+03,J1701-3006C,17:01:12.86592,-30:06:59.415,BT,UL,7.050
J1701-3006D,cha03,J1701-3006D,17:01:13.5631,-30:06:42.559,BT,He,7.050
J1701-3006E,cha03,J1701-3006E,17:01:13.2734,-30:06:46.89,BT,UL,7.050
J1701-3006F,cha03,J1701-3006F,17:01:12.8222,-30:06:51.82,BT,UL,7.050
J1708-3506,kjv+10,J1708-3506,17:08:17.62215,-35:06:22.640,DD,He,3.320
J1709+2313,fcwa95,J1709+2313,17:09:05.792,+23:13:27.85,BT,He,2.179
J1711-4322,lfl+06,J1711-4322,17:11:10.561,-43:22:53.1,ELL1,He,3.986
J1713+0747,fwc93,J1713+0747,17:13:49.5320261,+07:47:37.50615,T2,He,1.149
J1719-1438,bbb+11a,J1719-1438,17:19:10.07293,-14:38:00.942,ELL1,UL,0.341
B1718-19,lbhb93,J1721-1936,17:21:01.48,-19:36:51,ELL1,*,8.600
J1723-2837,fsk+04,J1723-2837,17:23:23.1856,-28:37:57.17,ELL1,MS,0.928
J1727-2946,fsk+04,J1727-2946,17:27:15.09493,-29:46:36.797,BT,CO,1.882
J1727-2951,ccb+20,J1727-2951,17:27:00.402,-29:51:40.8,ELL1,UL,5.415
J1731-1847,kjv+10,J1731-1847,17:31:17.609823,-18:47:32.666,BTX,UL,4.782
J1732-5049,eb01b,J1732-5049,17:32:47.766731,-50:49:00.1917,ELL1,He,1.875
J1737-0811,blr+13,J1737-0811,17:37:47.11235,-08:11:08.887,BT,UL(?),0.206
J1738+0333,jac05,J1738+0333,17:38:53.968035,+03:33:10.88330,ELL1,He,1.471
J1740-3052,sml+01,J1740-3052,17:40:50.001,-30:52:04.30,MSS,MS,4.748
J1740-5340A,dlm+01,J1740-5340A,17:40:44.589,-53:40:40.9,BT,MS,2.200
J1741+1351,jbo+07,J1741+1351,17:41:31.1447385,+13:51:44.11589,ELL1H,He,1.075
J1744-3922,fsk+04,J1744-3922,17:44:02.675,-39:22:21.1,ELL1,UL,4.541
J1745-0952,eb01b,J1745-0952,17:45:09.1348,-09:52:39.682,ELL1,He,0.226
J1745+1017,bgc+13,J1745+1017,17:45:33.8371,+10:17:52.523,ELL1,UL,1.214
J1745-23,ccb+20,J1745-23,17:45.5,-23:25,BT,UL,7.941
J1748-2021B,frb+08,J1748-2021B,17:48:52.95290,-20:21:38.86,BT,*,8.240
J1748-2021D,frb+08,J1748-2021D,17:48:51.64665,-20:21:07.414,BT,*,8.240
J1748-2021F,frb+08,J1748-2021F,17:48:52.3339,-20:21:39.33,BT,*,8.240
B1744-24A,lmd+90,J1748-2446A,17:48:02.255,-24:46:36.9,BT,UL,5.500
J1748-2446ad,hrs+06,J1748-2446ad,17:48:04.8,-24:46:45,ELL1,*,5.500
J1748-2446ae,fre08,J1748-2446ae,17:48:04.8,-24:46:45,BT,UL,4.400
J1748-2446ai,fre08,J1748-2446ai,17:48:04.8,-24:46:45,BT,*,5.500
J1748-2446E,rhs+05,J1748-2446E,17:48:04.8,-24:46:45,BT,He,5.500
J1748-2446I,rhs+05,J1748-2446I,17:48:04.8,-24:46:45,BT,He(?),5.500
J1748-2446J,rhs+05,J1748-2446J,17:48:04.8,-24:46:45,BT,CO,5.500
