angDist,Name,ref,JName,RA,DEC,Binary Type,Companion,Dist (Kpc),Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag
4.580042,J0732+2314,mgf+19,J0732+2314,07:32:37.5156,+23:14:54.21,ELL1,He(?),1.151,866555217278186112,113.15702584719,23.24948345718,2489.12866000,1606.47522000,4575.32617000,2438.80811000,2119.89453000,2791.69482000,10033
1.624139,J0737-3039A,bdp+03,J0737-3039A,07:37:51.248419,-30:39:40.71431,DDS,NS,1.1,5599150956000692480,114.46395751590,-30.66157691123,3361.66626000,1929.51892000,6726.57715000,13809.34570000,11875.25100000,16491.69920000,10033
3.126792,J0737-3039A,bdp+03,J0737-3039A,07:37:51.248419,-30:39:40.71431,DDS,NS,1.1,5599150956010142848,114.46443372602,-30.66091350910,974.60644500,961.57153300,987.35363800,976.52484100,964.38494900,989.13293500,10033
1.624139,J0737-3039B,lbk+04,J0737-3039B,07:37:51.248419,-30:39:40.71431,DD,NS,1.1,5599150956000692480,114.46395751590,-30.66157691123,3361.66626000,1929.51892000,6726.57715000,13809.34570000,11875.25100000,16491.69920000,10033
3.126792,J0737-3039B,lbk+04,J0737-3039B,07:37:51.248419,-30:39:40.71431,DD,NS,1.1,5599150956010142848,114.46443372602,-30.66091350910,974.60644500,961.57153300,987.35363800,976.52484100,964.38494900,989.13293500,10033
1.306916,J0955-61,ckr+15,J0955-61,09:55,-61:48,BT,*,2.168,5256046183597907456,148.75075993680,-61.80005323167,4065.07544000,2493.23169000,5839.45654000,3715.20215000,3150.46997000,4671.77490000,10033
0.149350,J1012+5307,nll+95,J1012+5307,10:12:33.438234,+53:07:02.28278,ELL1,He,0.7,851610861391010944,153.13933086797,53.11725939018,596.80328400,491.69393900,693.37908900,622.55438200,539.31494100,735.20575000,10022
0.119549,J1023+0038,asr+09,J1023+0038,10:23:47.68720,+00:38:40.8455,ELL1,MS,1.368,3831382647922429952,155.94870458335,0.64464705475,1388.72839000,1273.66516000,1521.97327000,1653.83154000,1544.67004000,1797.06372000,10033
4.439135,J1036-8317,ckr+15,J1036-8317,10:36,-83:17,BT,He,0.929,5192232762100429440,158.98945765121,-83.28334598049,5107.33301000,3482.25171000,7827.80859000,7551.74658000,5958.61377000,9806.72656000,10033
4.147467,J1045-4509,bhl+94,J1045-4509,10:45:50.18696,-45:09:54.1223,ELL1,He,0.34,5366772918681277440,161.45934504831,-45.16617430251,5640.37549000,2250.26831000,10381.37010000,10359.34770000,8726.17090000,12468.05270000,20033
0.037421,J1048+2339,cck+16,J1048+2339,10:48:43.4183,+23:39:53.411,ELL1,MS,2.002,3990037124929068032,162.18089987799,23.66483100064,1350.35803000,887.09155300,1955.73987000,2651.89331000,2123.97412000,3265.04907000,10033
0.738497,J1056-7117,nbb+14,J1056-7117,10:56:45.980,-71:17:53.394,ELL1,He,1.69,5231001237154125184,164.19099762700,-71.29824753391,3112.77051000,1812.30908000,4856.81104000,3737.86230000,3367.26904000,4187.95117000,20033
3.209695,J1056-7117,nbb+14,J1056-7117,10:56:45.980,-71:17:53.394,ELL1,He,1.69,5231001232860904320,164.19059383881,-71.29899822217,6858.87256000,4810.75537000,9352.25684000,4677.57861000,2927.79199000,9523.58398000,10133
4.840029,J1056-7117,nbb+14,J1056-7117,10:56:45.980,-71:17:53.394,ELL1,He,1.69,5231001237160312576,164.19533918090,-71.29756733798,3720.52197000,3013.17651000,5150.27246000,3283.79907000,2830.28882000,3906.62183000,10033
4.085060,J1101-6424,ncb+15,J1101-6424,11:01:37.1923,-64:24:39.332,ELL1,CO,2.174,5240435734137398656,165.40297753519,-64.41166624074,5230.32959000,3567.99634000,7089.57520000,3681.15918000,2588.80249000,7178.05176000,10033
2.516086,J1125-5825,kjv+10,J1125-5825,11:25:44.36564,-58:25:16.8798,DD,He,1.744,5339616527672093056,171.43563015837,-58.42078586927,7482.19775000,5665.06689000,9875.58301000,5748.74121000,4401.09277000,7150.68311000,10033
3.452897,J1125-5825,kjv+10,J1125-5825,11:25:44.36564,-58:25:16.8798,DD,He,1.744,5339616527672081152,171.43315011329,-58.42170357333,5059.06543000,3406.92700000,8421.01953000,,,,10099
4.521540,J1125-5825,kjv+10,J1125-5825,11:25:44.36564,-58:25:16.8798,DD,He,1.744,5339616527672081280,171.43260213637,-58.42178378352,7289.78711000,4878.75586000,10934.23340000,6996.84326000,5368.06201000,9560.83008000,10033
0.953570,J1125-6014,fsk+04,J1125-6014,11:25:55.2180,-60:14:06.608,ELL1,He,0.989,5336020987242787328,171.48058601542,-60.23524507099,5006.68701000,2956.96313000,7493.74414000,7498.48584000,6038.39307000,9196.31836000,10033
2.946280,J1125-6014,fsk+04,J1125-6014,11:25:55.2180,-60:14:06.608,ELL1,He,0.989,5336020987242781824,171.47906927745,-60.23581736318,4927.25439000,2695.91602000,7573.56201000,,,,10099
3.762061,J1125-6014,fsk+04,J1125-6014,11:25:55.2180,-60:14:06.608,ELL1,He,0.989,5336021017270034048,171.48197491377,-60.23471896636,7312.81836000,5146.49805000,9551.45215000,3434.70337000,2392.13379000,4792.93848000,10033
4.357999,J1125-6014,fsk+04,J1125-6014,11:25:55.2180,-60:14:06.608,ELL1,He,0.989,5336020987242780032,171.47941521016,-60.23633429062,6319.98389000,4324.31885000,8219.47559000,4574.76367000,3748.95532000,5501.04199000,10033
4.382656,J1125-6014,fsk+04,J1125-6014,11:25:55.2180,-60:14:06.608,ELL1,He,0.989,5336021743157028608,171.47764180055,-60.23501740819,4878.48145000,3271.72168000,7982.60986000,4366.84814000,3308.72290000,5691.35303000,10033
4.614681,J1125-6014,fsk+04,J1125-6014,11:25:55.2180,-60:14:06.608,ELL1,He,0.989,5336020987280762752,171.48019738771,-60.23644930396,4257.02686000,2769.28125000,7661.64111000,,,,10099
2.797809,J1141-6545,klm+00a,J1141-6545,11:41:07.0140,-65:45:19.1131,DD,CO,10.0,5236498619201757952,175.27888665584,-65.75607384429,7424.91211000,4717.04785000,11057.81350000,4730.44922000,3193.19702000,6394.89307000,10033
4.737868,J1141-6545,klm+00a,J1141-6545,11:41:07.0140,-65:45:19.1131,DD,CO,10.0,5236498623512235264,175.28205377139,-65.75592789551,5521.77979000,3433.08862000,7988.05273000,3314.35547000,2448.61694000,6214.65479000,10033
2.876040,J1157-5112,eb01,J1157-5112,11:57:08.166,-51:12:56.14,ELL1,CO,0.96,5369054091775977344,179.28279693827,-51.21581008728,6757.35498000,4624.21729000,10001.52250000,5472.78906000,4484.66455000,6748.93164000,10033
1.193076,J1216-6410,fsk+04,J1216-6410,12:16:07.3396,-64:10:09.226,ELL1,He,1.099,6053319214719452800,184.02982105377,-64.16922932944,9857.11719000,3761.41089000,16594.06050000,,,,11099
2.587969,J1216-6410,fsk+04,J1216-6410,12:16:07.3396,-64:10:09.226,ELL1,He,1.099,6053319214752961920,184.02903336691,-64.16898109547,3893.50684000,1827.23499000,7095.38037000,,,,10099
2.771942,J1216-6410,fsk+04,J1216-6410,12:16:07.3396,-64:10:09.226,ELL1,He,1.099,6053319214719452672,184.02941051520,-64.16865283681,1572.11963000,1184.80750000,2075.69336000,2011.97864000,1695.37915000,2493.45972000,10033
3.657358,J1216-6410,fsk+04,J1216-6410,12:16:07.3396,-64:10:09.226,ELL1,He,1.099,6053319214719447424,184.02882153221,-64.16989575735,5257.49951000,3479.66016000,8491.10645000,4734.62354000,3115.71509000,6803.62061000,10033
0.074585,J1227-4853,rrb+15,J1227-4853,12:27:58.724,-48:53:42.741,ELL1,MS,1.613,6128369984328414336,186.99465510705,-48.89519662091,2437.09253000,1845.69800000,3224.48535000,3378.89478000,2814.81030000,4453.35547000,10033
3.833385,J1227-6208,btb+15,J1227-6208,12:27:00.4413,-62:08:43.789,ELL1H,CO,9.47,6054663745667894016,186.74956185538,-62.14554311282,4843.18359000,3838.31885000,6993.34912000,3770.80908000,3169.47412000,4525.07422000,10033
1.627584,J1232-6501,clm+01,J1232-6501,12:32:17.840,-65:01:03.33,ELL1,He,5.423,5861102248369005184,188.07438159976,-65.01804331364,5913.34131000,2923.69312000,10655.11820000,6904.12354000,4343.36768000,10652.71480000,10033
4.318325,J1232-6501,clm+01,J1232-6501,12:32:17.840,-65:01:03.33,ELL1,He,5.423,5861102248367635328,188.07178709601,-65.01812314489,1363.48206000,876.04858400,2210.94458000,4855.77637000,2970.73071000,7423.84424000,10033
4.354158,J1232-6501,clm+01,J1232-6501,12:32:17.840,-65:01:03.33,ELL1,He,5.423,5861102248369010816,188.07642826710,-65.01676703820,5140.42236000,2820.72656000,8972.68945000,,,,20099
4.779567,J1232-6501,clm+01,J1232-6501,12:32:17.840,-65:01:03.33,ELL1,He,5.423,5861102248367640704,188.07171148382,-65.01685920408,3964.78223000,1385.64697000,5791.59668000,2539.32886000,1649.85889000,3677.21289000,11033
4.100809,J1244-6359,ncb+15,J1244-6359,12:44:47.693,-63:59:47.4,DD,CO,8.497,5862664173354905472,191.19879945495,-63.99536140800,5533.56445000,3099.37622000,7808.53955000,4920.81836000,3724.55078000,6636.72021000,10033
0.008193,B1259-63,jlm+92,J1302-6350,13:02:47.638337,-63:50:08.62859,MSS,MS,2.632,5862299960127967488,195.69848851536,-63.83573123377,2170.51050000,2111.84595000,2232.89746000,2167.04053000,2112.46411000,2222.67432000,10033
2.587200,B1259-63,jlm+92,J1302-6350,13:02:47.638337,-63:50:08.62859,MSS,MS,2.632,5862299960092725632,195.69988310912,-63.83610539869,4299.60059000,3061.90259000,5994.09326000,,,,10099
0.332541,J1306-4035,kbj+18,J1306-4035,13:06:56.30,-40:35:23.3,BT,MS,4.7,6140785016794586752,196.73446719721,-40.58983302892,3216.75146000,2246.19116000,5185.93018000,2130.99829000,1941.16394000,2456.09790000,10033
0.044338,J1311-3430,pgf+12,J1311-3430,13:11:45.7242,-34:30:30.350,ELL1,UL,2.43,6179115508262195200,197.94050550831,-34.50843790660,899.01055900,500.02697800,3072.98096000,13704.26560000,6364.82373000,15762.30470000,10033
0.987088,B1310+18,kapw91,J1312+1810,13:12:55,+18:10,BT,*,20.6,3938022017255983360,198.22942969746,18.16677945374,7382.05908000,5718.66699000,10047.76560000,3175.86304000,2630.81665000,3735.69019000,10033
1.602932,B1310+18,kapw91,J1312+1810,13:12:55,+18:10,BT,*,20.6,3938022017256103680,198.22873582625,18.16684181339,731.16638200,562.69476300,1031.90088000,,,,10099
2.461632,B1310+18,kapw91,J1312+1810,13:12:55,+18:10,BT,*,20.6,3938022017256103552,198.22848639915,18.16644354320,16235.97750000,12523.07130000,21661.33200000,,,,10099
2.842842,B1310+18,kapw91,J1312+1810,13:12:55,+18:10,BT,*,20.6,3938022017252956672,198.22863943385,18.16605622596,3957.98755000,2751.98340000,5138.07764000,,,,10099
3.696489,B1310+18,kapw91,J1312+1810,13:12:55,+18:10,BT,*,20.6,3938022017255857920,198.22886063904,18.16568189586,4778.69922000,2594.91675000,7669.82129000,,,,10099
4.159815,B1310+18,kapw91,J1312+1810,13:12:55,+18:10,BT,*,20.6,3938022017255717376,198.22798006600,18.16691973087,6223.16211000,4786.37598000,12065.27830000,8354.86621000,5079.30908000,9124.04785000,10133
4.275273,B1310+18,kapw91,J1312+1810,13:12:55,+18:10,BT,*,20.6,3938022017255781248,198.22868889600,18.16776405544,1546.80078000,1103.89526000,2111.57471000,,,,10099
